Customer ID,Invoice,BasketPrice,InvoiceDate
12346,491725,45.0,2009-12-14 08:34:00.000000000
12346,491742,22.5,2009-12-14 11:00:00.000000000
12346,491744,22.5,2009-12-14 11:02:00.000000000
12346,492718,22.5,2009-12-18 10:47:00.000000000
12346,492722,1.0,2009-12-18 10:55:00.000000000
12346,493410,22.5,2010-01-04 09:24:00.000000000
12346,493412,22.5,2010-01-04 09:53:00.000000000
12346,494450,22.5,2010-01-14 13:50:00.000000000
12346,495295,18.0,2010-01-22 13:30:00.000000000
12346,499763,27.05,2010-03-02 13:08:00.000000000
12346,513774,142.31,2010-06-28 13:53:00.000000000
12347,529924,611.53,2010-10-31 14:20:00.000000000
12347,537626,711.79,2010-12-07 14:57:00.000000000
12348,524140,222.16,2010-09-27 14:59:00.000000000
12349,506394,1068.52,2010-04-29 13:20:00.000000000
12349,508728,200.0,2010-05-18 09:57:00.000000000
12349,529344,1402.62,2010-10-28 08:23:00.000000000
12351,536012,300.93,2010-11-29 15:23:00.000000000
12352,532430,143.75,2010-11-12 10:20:00.000000000
12352,535838,200.05,2010-11-29 10:07:00.000000000
12353,529304,317.76,2010-10-27 12:44:00.000000000
12355,509300,488.21000000000004,2010-05-21 11:59:00.000000000
12356,526245,910.44,2010-10-11 09:42:00.000000000
12356,532305,2301.96,2010-11-11 14:23:00.000000000
12356,534804,349.85,2010-11-24 12:24:00.000000000
12357,533088,11229.99,2010-11-16 10:05:00.000000000
12357,533162,850.0,2010-11-16 14:29:00.000000000
12358,490751,1429.83,2009-12-08 07:59:00.000000000
12358,511229,268.1,2010-06-07 12:28:00.000000000
12358,535879,1021.08,2010-11-29 10:56:00.000000000
12359,490382,682.49,2009-12-05 13:32:00.000000000
12359,492397,78.2,2009-12-16 15:24:00.000000000
12359,500379,337.74,2010-03-08 10:15:00.000000000
12359,502098,329.8,2010-03-23 08:55:00.000000000
12359,513123,489.8,2010-06-22 10:24:00.000000000
12359,526174,551.33,2010-10-10 11:16:00.000000000
12360,498613,118.00000000000001,2010-02-22 09:32:00.000000000
12360,502331,40.0,2010-03-24 10:39:00.000000000
12360,509627,582.04,2010-05-25 09:55:00.000000000
12360,532443,690.79,2010-11-12 11:31:00.000000000
12360,535105,120.0,2010-11-25 11:04:00.000000000
12361,495719,109.19999999999999,2010-01-26 14:37:00.000000000
12361,507426,98.15,2010-05-09 15:33:00.000000000
12361,521354,114.0,2010-09-03 15:19:00.000000000
12362,489447,130.0,2009-12-01 10:10:00.000000000
12366,501333,500.24,2010-03-16 10:28:00.000000000
12368,501904,917.6999999999999,2010-03-21 15:56:00.000000000
12369,500367,348.32,2010-03-08 08:09:00.000000000
12369,522773,1259.48,2010-09-16 14:34:00.000000000
12369,528576,183.35,2010-10-22 13:13:00.000000000
12370,497363,562.96,2010-02-09 09:41:00.000000000
12370,502493,141.06,2010-03-25 10:28:00.000000000
12370,502568,70.6,2010-03-25 12:10:00.000000000
12371,500157,320.88,2010-03-04 18:23:00.000000000
12371,500158,286.8,2010-03-04 18:25:00.000000000
12371,529091,1571.74,2010-10-26 13:37:00.000000000
12373,496864,437.90000000000003,2010-02-04 12:08:00.000000000
12373,502607,325.15000000000003,2010-03-25 13:49:00.000000000
12374,506579,1388.54,2010-04-30 14:01:00.000000000
12374,526941,657.75,2010-10-14 10:16:00.000000000
12374,527058,200.0,2010-10-14 13:31:00.000000000
12376,527439,432.55,2010-10-18 08:42:00.000000000
12376,532952,70.6,2010-11-15 12:15:00.000000000
12377,506435,1210.96,2010-04-29 15:34:00.000000000
12377,534738,587.24,2010-11-23 19:24:00.000000000
12378,509980,1407.7,2010-05-26 14:07:00.000000000
12379,513275,367.48,2010-06-23 12:49:00.000000000
12379,526893,400.5,2010-10-13 14:46:00.000000000
12380,497947,1508.65,2010-02-15 12:05:00.000000000
12380,497952,1508.65,2010-02-15 12:31:00.000000000
12380,499959,200.0,2010-03-03 12:53:00.000000000
12380,513964,1765.95,2010-06-29 15:17:00.000000000
12380,513965,674.5999999999999,2010-06-29 15:28:00.000000000
12380,513967,145.0,2010-06-29 15:34:00.000000000
12380,520872,1113.24,2010-08-31 14:54:00.000000000
12385,535321,1923.4,2010-11-25 15:14:00.000000000
12386,537676,258.9,2010-12-08 09:53:00.000000000
